,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs
1059,WetDep_SO4_mgm2,2009,8,29.389040903225993,25.664091847826086,2009-08-01,9.638982331229911,9.501662469950427,3.7249490553999074
1060,WetDep_SO4_mgm2,2009,9,42.29116594408237,32.864868304568525,2009-09-01,9.638982331229911,9.501662469950427,9.426297639513848
1061,WetDep_SO4_mgm2,2009,10,30.565575366122605,27.998699984924624,2009-10-01,9.638982331229911,9.501662469950427,2.566875381197981
1062,WetDep_SO4_mgm2,2009,11,19.900745102462473,16.853796777777777,2009-11-01,9.638982331229911,9.501662469950427,3.0469483246846956
1063,WetDep_SO4_mgm2,2009,12,20.120366451940356,17.768635009615387,2009-12-01,9.638982331229911,9.501662469950427,2.3517314423249687
1064,WetDep_SO4_mgm2,2010,1,14.590003558803454,13.753137079787233,2010-01-01,9.638982331229911,9.501662469950427,0.836866479016221
1065,WetDep_SO4_mgm2,2010,2,17.475030998923792,14.105504255813953,2010-02-01,9.638982331229911,9.501662469950427,3.369526743109839
1066,WetDep_SO4_mgm2,2010,3,34.89805701823791,29.857246456221198,2010-03-01,9.638982331229911,9.501662469950427,5.040810562016709
1067,WetDep_SO4_mgm2,2010,4,31.683659797000754,23.24179165945946,2010-04-01,9.638982331229911,9.501662469950427,8.441868137541295
1068,WetDep_SO4_mgm2,2010,5,35.75706702243972,32.00870592021276,2010-05-01,9.638982331229911,9.501662469950427,3.7483611022269585
1069,WetDep_SO4_mgm2,2010,6,47.29737134891114,41.03183125268817,2010-06-01,9.638982331229911,9.501662469950427,6.265540096222971
1070,WetDep_SO4_mgm2,2010,7,29.715037299431863,25.644754867403314,2010-07-01,9.638982331229911,9.501662469950427,4.070282432028549
1071,WetDep_SO4_mgm2,2010,8,33.41183056108344,24.770520888268155,2010-08-01,9.638982331229911,9.501662469950427,8.641309672815286
1072,WetDep_SO4_mgm2,2010,9,26.971035380622645,21.43560267403315,2010-09-01,9.638982331229911,9.501662469950427,5.535432706589496
1073,WetDep_SO4_mgm2,2010,10,19.365533402736958,14.884338505813952,2010-10-01,9.638982331229911,9.501662469950427,4.4811948969230055
1074,WetDep_SO4_mgm2,2010,11,18.628171750760494,14.75253572159091,2010-11-01,9.638982331229911,9.501662469950427,3.875636029169584
1075,WetDep_SO4_mgm2,2010,12,15.571684487354839,15.052913211956522,2010-12-01,9.638982331229911,9.501662469950427,0.5187712753983167
1076,WetDep_SO4_mgm2,2011,1,17.221317717952676,11.851378989304813,2011-01-01,9.638982331229911,9.501662469950427,5.369938728647863
1077,WetDep_SO4_mgm2,2011,2,18.877397443854818,15.537514074468085,2011-02-01,9.638982331229911,9.501662469950427,3.339883369386733
1078,WetDep_SO4_mgm2,2011,3,41.606699245136795,39.94452796969697,2011-03-01,9.638982331229911,9.501662469950427,1.6621712754398246
1079,WetDep_SO4_mgm2,2011,4,42.18507382545652,41.63628273655914,2011-04-01,9.638982331229911,9.501662469950427,0.5487910888973815
1080,WetDep_SO4_mgm2,2011,5,42.488496557240225,36.20753491620112,2011-05-01,9.638982331229911,9.501662469950427,6.280961641039106
1081,WetDep_SO4_mgm2,2011,6,38.03269863838005,33.917435057471266,2011-06-01,9.638982331229911,9.501662469950427,4.115263580908781
1082,WetDep_SO4_mgm2,2011,7,28.456513693507997,23.081403123456788,2011-07-01,9.638982331229911,9.501662469950427,5.375110570051209
1083,WetDep_SO4_mgm2,2011,8,43.718523622151,28.84236382738095,2011-08-01,9.638982331229911,9.501662469950427,14.876159794770047
1084,WetDep_SO4_mgm2,2011,9,42.6074457282443,30.55708514054054,2011-09-01,9.638982331229911,9.501662469950427,12.05036058770376
1085,WetDep_SO4_mgm2,2011,10,23.896393386155236,19.241858818181818,2011-10-01,9.638982331229911,9.501662469950427,4.654534567973418
1086,WetDep_SO4_mgm2,2011,11,24.173815256268778,22.207086621004564,2011-11-01,9.638982331229911,9.501662469950427,1.9667286352642144
1087,WetDep_SO4_mgm2,2011,12,16.530081664972325,16.72179544845361,2011-12-01,9.638982331229911,9.501662469950427,0.19171378348128343
1088,WetDep_SO4_mgm2,2012,1,15.620654088430586,15.173885146067416,2012-01-01,9.638982331229911,9.501662469950427,0.44676894236316933
1089,WetDep_SO4_mgm2,2012,2,18.205703301164203,16.089631372093024,2012-02-01,9.638982331229911,9.501662469950427,2.116071929071179
1090,WetDep_SO4_mgm2,2012,3,28.06670332286837,23.4181616142132,2012-03-01,9.638982331229911,9.501662469950427,4.64854170865517
1091,WetDep_SO4_mgm2,2012,4,21.44916600010723,18.893445297435896,2012-04-01,9.638982331229911,9.501662469950427,2.5557207026713336
1092,WetDep_SO4_mgm2,2012,5,37.006882763004114,31.137227451612905,2012-05-01,9.638982331229911,9.501662469950427,5.8696553113912096
1093,WetDep_SO4_mgm2,2012,6,24.709281637578435,21.111747942196534,2012-06-01,9.638982331229911,9.501662469950427,3.5975336953819017
1094,WetDep_SO4_mgm2,2012,7,28.59619985143579,20.477391650887572,2012-07-01,9.638982331229911,9.501662469950427,8.11880820054822
1095,WetDep_SO4_mgm2,2012,8,47.86340862291308,34.58053646629213,2012-08-01,9.638982331229911,9.501662469950427,13.282872156620947
1096,WetDep_SO4_mgm2,2012,9,27.01412969566563,18.66569526923077,2012-09-01,9.638982331229911,9.501662469950427,8.34843442643486
1097,WetDep_SO4_mgm2,2012,10,31.988230940522985,25.795316815384616,2012-10-01,9.638982331229911,9.501662469950427,6.192914125138369
1098,WetDep_SO4_mgm2,2012,11,9.96793588627878,7.9974089450549455,2012-11-01,9.638982331229911,9.501662469950427,1.9705269412238353
1099,WetDep_SO4_mgm2,2012,12,20.88193838936765,20.610342577889448,2012-12-01,9.638982331229911,9.501662469950427,0.27159581147820333
1100,WetDep_SO4_mgm2,2013,1,18.906011543648496,16.55700225,2013-01-01,9.638982331229911,9.501662469950427,2.3490092936484963
1101,WetDep_SO4_mgm2,2013,2,24.141479007560378,22.315024790697677,2013-02-01,9.638982331229911,9.501662469950427,1.8264542168627003
1102,WetDep_SO4_mgm2,2013,3,21.732402095968283,19.42459208205128,2013-03-01,9.638982331229911,9.501662469950427,2.3078100139170026
1103,WetDep_SO4_mgm2,2013,4,34.79331325096752,34.003471087804876,2013-04-01,9.638982331229911,9.501662469950427,0.7898421631626462
1104,WetDep_SO4_mgm2,2013,5,34.96813690463861,30.855897981900455,2013-05-01,9.638982331229911,9.501662469950427,4.1122389227381575
1105,WetDep_SO4_mgm2,2013,6,44.12753608757096,33.10404261666667,2013-06-01,9.638982331229911,9.501662469950427,11.023493470904292
1106,WetDep_SO4_mgm2,2013,7,49.38678146381457,40.7527387914692,2013-07-01,9.638982331229911,9.501662469950427,8.634042672345373
1107,WetDep_SO4_mgm2,2013,8,42.261661002728445,26.89196734517766,2013-08-01,9.638982331229911,9.501662469950427,15.369693657550783
1108,WetDep_SO4_mgm2,2013,9,31.134924512629148,20.85997550471698,2013-09-01,9.638982331229911,9.501662469950427,10.274949007912166
1109,WetDep_SO4_mgm2,2013,10,22.1166210855022,15.65619223857868,2013-10-01,9.638982331229911,9.501662469950427,6.46042884692352
1110,WetDep_SO4_mgm2,2013,11,15.7430494538927,14.677802266055046,2013-11-01,9.638982331229911,9.501662469950427,1.0652471878376542
1111,WetDep_SO4_mgm2,2013,12,18.371697713159868,18.923859058252425,2013-12-01,9.638982331229911,9.501662469950427,0.5521613450925571
1112,WetDep_SO4_mgm2,2014,1,12.493820024712829,12.289661783068782,2014-01-01,9.638982331229911,9.501662469950427,0.2041582416440466
1113,WetDep_SO4_mgm2,2014,2,18.534334959040745,17.68566799056604,2014-02-01,9.638982331229911,9.501662469950427,0.8486669684747064
1114,WetDep_SO4_mgm2,2014,3,18.00881757387711,16.33046541314554,2014-03-01,9.638982331229911,9.501662469950427,1.6783521607315706
1115,WetDep_SO4_mgm2,2014,4,39.91168221882038,37.24506344292237,2014-04-01,9.638982331229911,9.501662469950427,2.6666187758980087
1116,WetDep_SO4_mgm2,2014,5,29.23060634028926,23.888039401960786,2014-05-01,9.638982331229911,9.501662469950427,5.342566938328474
1117,WetDep_SO4_mgm2,2014,6,38.645653155167274,30.633524109947643,2014-06-01,9.638982331229911,9.501662469950427,8.01212904521963
1118,WetDep_SO4_mgm2,2014,7,47.003564733092674,31.845088645320196,2014-07-01,9.638982331229911,9.501662469950427,15.158476087772478
1119,WetDep_SO4_mgm2,2014,8,36.968584449193266,22.158377487922703,2014-08-01,9.638982331229911,9.501662469950427,14.810206961270563
1120,WetDep_SO4_mgm2,2014,9,28.30528944805294,17.02380065277778,2014-09-01,9.638982331229911,9.501662469950427,11.281488795275159
1121,WetDep_SO4_mgm2,2014,10,29.304812519853154,21.64912933168317,2014-10-01,9.638982331229911,9.501662469950427,7.655683188169984
1122,WetDep_SO4_mgm2,2014,11,15.117381624830623,12.656465621359223,2014-11-01,9.638982331229911,9.501662469950427,2.4609160034714
1123,WetDep_SO4_mgm2,2014,12,20.26576169622606,18.613156120171674,2014-12-01,9.638982331229911,9.501662469950427,1.6526055760543876
1124,WetDep_SO4_mgm2,2015,1,11.386393215315987,10.812067119402986,2015-01-01,9.638982331229911,9.501662469950427,0.5743260959130012
1125,WetDep_SO4_mgm2,2015,2,14.18105832624909,11.367946466367712,2015-02-01,9.638982331229911,9.501662469950427,2.813111859881378
1126,WetDep_SO4_mgm2,2015,3,17.19201176569516,15.121136986486487,2015-03-01,9.638982331229911,9.501662469950427,2.0708747792086726
1127,WetDep_SO4_mgm2,2015,4,36.16814760331698,31.484088917391304,2015-04-01,9.638982331229911,9.501662469950427,4.684058685925677
1128,WetDep_SO4_mgm2,2015,5,27.5944572505284,21.24357033653846,2015-05-01,9.638982331229911,9.501662469950427,6.350886913989939
1129,WetDep_SO4_mgm2,2015,6,40.82461185262124,28.944243074766355,2015-06-01,9.638982331229911,9.501662469950427,11.880368777854883
1130,WetDep_SO4_mgm2,2015,7,43.392736012413685,26.26502375980392,2015-07-01,9.638982331229911,9.501662469950427,17.127712252609765
1131,WetDep_SO4_mgm2,2015,8,29.785529061473444,15.96069006,2015-08-01,9.638982331229911,9.501662469950427,13.824839001473444
1132,WetDep_SO4_mgm2,2015,9,23.964418084617687,13.898671950248756,2015-09-01,9.638982331229911,9.501662469950427,10.065746134368931
1133,WetDep_SO4_mgm2,2015,10,16.85800814981736,11.817385331838565,2015-10-01,9.638982331229911,9.501662469950427,5.040622817978793
1134,WetDep_SO4_mgm2,2015,11,15.982411107915265,12.280892137440759,2015-11-01,9.638982331229911,9.501662469950427,3.701518970474506
1135,WetDep_SO4_mgm2,2015,12,21.619292909570945,17.533470604347826,2015-12-01,9.638982331229911,9.501662469950427,4.085822305223118
1136,WetDep_SO4_mgm2,2016,1,11.436916788328407,8.93482531330472,2016-01-01,9.638982331229911,9.501662469950427,2.5020914750236862
1137,WetDep_SO4_mgm2,2016,2,17.115116960205924,14.096590104761905,2016-02-01,9.638982331229911,9.501662469950427,3.018526855444019
1138,WetDep_SO4_mgm2,2016,3,30.642315249438806,23.145354100456622,2016-03-01,9.638982331229911,9.501662469950427,7.496961148982184
1139,WetDep_SO4_mgm2,2016,4,27.158601248184386,19.915536863436124,2016-04-01,9.638982331229911,9.501662469950427,7.243064384748262
1140,WetDep_SO4_mgm2,2016,5,35.188695805964905,23.60731357079646,2016-05-01,9.638982331229911,9.501662469950427,11.581382235168444
