,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
495,WetDep_NH4_mgm2,2004,10,2.97653243383147,3.207853,2004-10-01,1.1815110793902779,1.4214069753652272,0.23132056616853003,1.8988176528536702
496,WetDep_NH4_mgm2,2004,11,2.447994238703108,2.6025016875,2004-11-01,1.1815110793902779,1.4214069753652272,0.15450744879689227,1.3848783022543576
497,WetDep_NH4_mgm2,2004,12,2.4783400718336916,2.8482360251572327,2004-12-01,1.1815110793902779,1.4214069753652272,0.3698959533235411,1.3290885798663847
498,WetDep_NH4_mgm2,2005,1,2.548886252241085,2.567821017857143,2005-01-01,1.1815110793902779,1.4214069753652272,0.01893476561605789,1.5414576093978
499,WetDep_NH4_mgm2,2005,2,1.5972177845464268,1.7343087116564417,2005-02-01,1.1815110793902779,1.4214069753652272,0.13709092711001492,0.5113867047547969
500,WetDep_NH4_mgm2,2005,3,3.197445419354705,3.4180699833333335,2005-03-01,1.1815110793902779,1.4214069753652272,0.22062456397862862,2.128445159758982
501,WetDep_NH4_mgm2,2005,4,3.445478908281396,3.7314823529411765,2005-04-01,1.1815110793902779,1.4214069753652272,0.28600344465978056,2.362470579897102
502,WetDep_NH4_mgm2,2005,5,4.4701756293284545,5.007671909638554,2005-05-01,1.1815110793902779,1.4214069753652272,0.5374962803100996,3.3499351007944904
503,WetDep_NH4_mgm2,2005,6,3.4435991366966117,3.350795467105263,2005-06-01,1.1815110793902779,1.4214069753652272,0.09280366959134856,2.4705487513025597
504,WetDep_NH4_mgm2,2005,7,2.113375096545865,2.1726111842105262,2005-07-01,1.1815110793902779,1.4214069753652272,0.05923608766466115,1.085345955972818
505,WetDep_NH4_mgm2,2005,8,2.3780684837469863,2.2495234466666667,2005-08-01,1.1815110793902779,1.4214069753652272,0.1285450370803196,1.4321228719863774
506,WetDep_NH4_mgm2,2005,9,1.6970158784182512,1.5916445913043478,2005-09-01,1.1815110793902779,1.4214069753652272,0.10537128711390342,0.7591079828316274
507,WetDep_NH4_mgm2,2005,10,3.129942375742594,3.0739188986486488,2005-10-01,1.1815110793902779,1.4214069753652272,0.056023477093945395,2.147841579743324
508,WetDep_NH4_mgm2,2005,11,1.6682906132315614,1.7672636692913386,2005-11-01,1.1815110793902779,1.4214069753652272,0.09897305605977724,0.608964584975572
509,WetDep_NH4_mgm2,2005,12,1.9981517900966677,1.9272548055555556,2005-12-01,1.1815110793902779,1.4214069753652272,0.07089698454111204,1.033633070794408
510,WetDep_NH4_mgm2,2006,1,2.340333267696059,2.4931592992700726,2006-01-01,1.1815110793902779,1.4214069753652272,0.15282603157401375,1.2750322980933564
511,WetDep_NH4_mgm2,2006,2,1.4975166769049302,1.732765285714286,2006-02-01,1.1815110793902779,1.4214069753652272,0.23524860880935572,0.34042419677604907
512,WetDep_NH4_mgm2,2006,3,2.504276471490664,2.9495712716049383,2006-03-01,1.1815110793902779,1.4214069753652272,0.44529480011427447,1.3264627176245765
513,WetDep_NH4_mgm2,2006,4,4.266742706739623,4.1084898053691274,2006-04-01,1.1815110793902779,1.4214069753652272,0.15825290137049564,3.303832569486801
514,WetDep_NH4_mgm2,2006,5,3.648855539281719,4.3645880275862075,2006-05-01,1.1815110793902779,1.4214069753652272,0.7157324883044884,2.4527029427759715
515,WetDep_NH4_mgm2,2006,6,2.396312163198759,2.3792686403508774,2006-06-01,1.1815110793902779,1.4214069753652272,0.017043522847881576,1.4034245599514135
516,WetDep_NH4_mgm2,2006,7,2.176315025001632,2.2699530990990993,2006-07-01,1.1815110793902779,1.4214069753652272,0.09363807409746716,1.133289050810512
517,WetDep_NH4_mgm2,2006,8,2.4101490192301025,2.1284894814814814,2006-08-01,1.1815110793902779,1.4214069753652272,0.28165953774862107,1.5270129705880124
518,WetDep_NH4_mgm2,2006,9,3.022491368732398,2.8697285220125788,2006-09-01,1.1815110793902779,1.4214069753652272,0.1527628467198192,2.0730333978346636
519,WetDep_NH4_mgm2,2006,10,2.704053748060062,2.5752816482758623,2006-10-01,1.1815110793902779,1.4214069753652272,0.12877209978419968,1.7516756194361702
520,WetDep_NH4_mgm2,2006,11,2.4803747883763636,2.726644265822785,2006-11-01,1.1815110793902779,1.4214069753652272,0.24626947744642136,1.381087584442305
521,WetDep_NH4_mgm2,2006,12,1.5124590773662876,1.56852265,2006-12-01,1.1815110793902779,1.4214069753652272,0.05606357263371242,0.4753912495667161
522,WetDep_NH4_mgm2,2007,1,1.807500788180347,1.9423017116564416,2007-01-01,1.1815110793902779,1.4214069753652272,0.13480092347609451,0.7329221631763703
523,WetDep_NH4_mgm2,2007,2,1.554801507896052,1.5428430584415584,2007-02-01,1.1815110793902779,1.4214069753652272,0.011958449454493536,0.5624928108654423
524,WetDep_NH4_mgm2,2007,3,3.212396701052004,3.636565585714286,2007-03-01,1.1815110793902779,1.4214069753652272,0.424168884662282,2.080355448325224
525,WetDep_NH4_mgm2,2007,4,4.55443401194812,4.894967492957746,2007-04-01,1.1815110793902779,1.4214069753652272,0.34053348100962566,3.479664352289803
526,WetDep_NH4_mgm2,2007,5,3.1875720648762624,3.3372367866666663,2007-05-01,1.1815110793902779,1.4214069753652272,0.1496647217904039,2.1406194881989995
527,WetDep_NH4_mgm2,2007,6,1.8420288981646784,1.6431331349206348,2007-06-01,1.1815110793902779,1.4214069753652272,0.19889576324404357,0.9500053601204138
528,WetDep_NH4_mgm2,2007,7,1.781643780499908,1.9118400917431193,2007-07-01,1.1815110793902779,1.4214069753652272,0.1301963112432114,0.708567269545131
529,WetDep_NH4_mgm2,2007,8,2.7495942489731986,2.4232322093023253,2007-08-01,1.1815110793902779,1.4214069753652272,0.3263620396708733,1.8682888672037792
530,WetDep_NH4_mgm2,2007,9,1.6682690822631734,1.7554381946902655,2007-09-01,1.1815110793902779,1.4214069753652272,0.08716911242709213,0.6160178517189745
531,WetDep_NH4_mgm2,2007,10,2.6354984504495556,2.7699326121212122,2007-10-01,1.1815110793902779,1.4214069753652272,0.13443416167165667,1.584489442400727
532,WetDep_NH4_mgm2,2007,11,1.8644539137136185,2.192502539007092,2007-11-01,1.1815110793902779,1.4214069753652272,0.32804862529347356,0.6885050083099624
533,WetDep_NH4_mgm2,2007,12,2.1933636228785525,2.1476724942528738,2007-12-01,1.1815110793902779,1.4214069753652272,0.0456911286256787,1.2141951567606153
534,WetDep_NH4_mgm2,2008,1,1.9625123782417235,2.069209612121212,2008-01-01,1.1815110793902779,1.4214069753652272,0.10669723387948826,0.9081447038961066
535,WetDep_NH4_mgm2,2008,2,1.9541461042080384,2.0047310141843973,2008-02-01,1.1815110793902779,1.4214069753652272,0.050584909976358894,0.9282601636084946
536,WetDep_NH4_mgm2,2008,3,2.8807417513937312,3.59232252991453,2008-03-01,1.1815110793902779,1.4214069753652272,0.7115807785207986,1.6337287110278154
537,WetDep_NH4_mgm2,2008,4,6.25037074964713,7.069872835365854,2008-04-01,1.1815110793902779,1.4214069753652272,0.8195020857187236,5.119258193521562
538,WetDep_NH4_mgm2,2008,5,4.001063273240069,4.432007616541353,2008-05-01,1.1815110793902779,1.4214069753652272,0.4309443433012836,2.8933558180284686
539,WetDep_NH4_mgm2,2008,6,2.98619071292144,2.93673425,2008-06-01,1.1815110793902779,1.4214069753652272,0.04945646292143957,2.00275243575697
540,WetDep_NH4_mgm2,2008,7,2.2067474623270473,2.12600404587156,2008-07-01,1.1815110793902779,1.4214069753652272,0.08074341645548744,1.2433367947422491
541,WetDep_NH4_mgm2,2008,8,2.227116780580446,2.2937325784313725,2008-08-01,1.1815110793902779,1.4214069753652272,0.0666157978509263,1.1972055525605287
542,WetDep_NH4_mgm2,2008,9,2.453107557738801,2.39251109352518,2008-09-01,1.1815110793902779,1.4214069753652272,0.06059646421362119,1.477809476748613
