,siteId,model_time,lat,lon,PREC_tot_mm,Mod_SOA_POM_BC_mgm2,time
5518,SR,2017-02-09,44.764397905759154,287.5,9.798025098461949,1.366036683769778,2017-02-08
5519,SR,2017-02-10,44.764397905759154,287.5,5.429838415693666,0.5110294937216153,2017-02-09
5520,SR,2017-02-11,44.764397905759154,287.5,0.236667894881748,0.11585772653754933,2017-02-10
5521,SR,2017-02-12,44.764397905759154,287.5,0.8912339922062529,0.20938882502874456,2017-02-11
5522,SR,2017-02-13,44.764397905759154,287.5,8.777071229815192,0.5166043967608225,2017-02-12
5523,SR,2017-02-14,44.764397905759154,287.5,9.341081022284925,0.5667433397582577,2017-02-13
5524,SR,2017-02-15,44.764397905759154,287.5,0.5291259910222834,0.015257508147528687,2017-02-14
5525,SR,2017-02-16,44.764397905759154,287.5,1.7900172224472044,1.7765807824865476,2017-02-15
5526,SR,2017-02-17,44.764397905759154,287.5,8.86091031588876,2.2803613997091077,2017-02-16
5527,SR,2017-02-18,44.764397905759154,287.5,0.008610760904304016,0.059500927622468947,2017-02-17
5528,SR,2017-02-19,44.764397905759154,287.5,0.2884600526442682,0.007873579132428032,2017-02-18
5529,SR,2017-02-20,44.764397905759154,287.5,0.0017855921741194436,0.010366593521105028,2017-02-19
5530,SR,2017-02-21,44.764397905759154,287.5,0.0008902227954799002,0.02145606114653531,2017-02-20
5531,SR,2017-02-22,44.764397905759154,287.5,2.941280013146752,0.31687540091862587,2017-02-21
5532,SR,2017-02-23,44.764397905759154,287.5,1.1557432515019173,0.3671591281007025,2017-02-22
5533,SR,2017-02-24,44.764397905759154,287.5,0.0331639619766122,0.2395316445191753,2017-02-23
5534,SR,2017-02-25,44.764397905759154,287.5,16.819516940813628,4.497962902139108,2017-02-24
5535,SR,2017-02-26,44.764397905759154,287.5,4.800959629847057,1.3663731646129662,2017-02-25
5536,SR,2017-02-27,44.764397905759154,287.5,4.951808409714431,0.78207208209502,2017-02-26
5537,SR,2017-02-28,44.764397905759154,287.5,0.04169293870148749,0.05265490543582274,2017-02-27
5538,SR,2017-03-01,44.764397905759154,287.5,1.436142315469624,0.11054064538718045,2017-02-28
5539,SR,2017-03-02,44.764397905759154,287.5,4.262877513383501,1.3758172601185947,2017-03-01
5540,SR,2017-03-03,44.764397905759154,287.5,1.3594879590073106,0.8861429090512019,2017-03-02
5541,SR,2017-03-04,44.764397905759154,287.5,0.013696456768741427,0.007145047054013531,2017-03-03
5542,SR,2017-03-05,44.764397905759154,287.5,0.02746046270374336,0.10425592888996249,2017-03-04
