,siteId,time,PREC_tot_mm
911168,MN08,2018-05-26,0.38531535082597657
911169,MN08,2018-05-27,2.192304526715816
911170,MN08,2018-05-28,1.0453320385295228
911171,MN08,2018-05-29,1.1841574205570526e-05
911172,MN08,2018-05-30,8.90464948497538
911173,MN08,2018-05-31,3.6767495799949756
911174,MN08,2018-06-01,0.00048250588524645366
911175,MN08,2018-06-02,0.4332745106694347
911176,MN08,2018-06-03,13.4819654704188
911177,MN08,2018-06-04,0.00018963219119982888
911178,MN08,2018-06-05,0.0003166792453268563
911179,MN08,2018-06-06,1.5534027568264719
911180,MN08,2018-06-07,0.005134097547099259
911181,MN08,2018-06-08,0.16667702098516202
911182,MN08,2018-06-09,2.7962173248852196
911183,MN08,2018-06-10,0.5571139453763863
911184,MN08,2018-06-11,4.031158799101082e-09
911185,MN08,2018-06-12,3.8303281826301827
911186,MN08,2018-06-13,0.7715061693502889
911187,MN08,2018-06-14,0.05303502117470771
911188,MN08,2018-06-15,0.6988663983520382
911189,MN08,2018-06-16,0.18787970859079905
911190,MN08,2018-06-17,0.8420371727879683
911191,MN08,2018-06-18,2.793398255107604
911192,MN08,2018-06-19,0.3613117613099348
911193,MN08,2018-06-20,1.2628546051292604e-08
911194,MN08,2018-06-21,2.7118213398590137e-13
911195,MN08,2018-06-22,2.508869332987565e-07
911196,MN08,2018-06-23,0.09511917333782094
911197,MN08,2018-06-24,0.30966452442271475
911198,MN08,2018-06-25,0.018437971549545296
911199,MN08,2018-06-26,1.7380797601163067
911200,MN08,2018-06-27,0.2193489689883421
911201,MN08,2018-06-28,0.10757486381685055
911202,MN08,2018-06-29,0.4154420103930079
911203,MN08,2018-06-30,0.09444701980498849
911204,MN08,2018-07-01,18.313616402565458
911205,MN08,2018-07-02,2.940369981950698e-09
911206,MN08,2018-07-03,0.005929475310750831
911207,MN08,2018-07-04,0.18603904507505203
911208,MN08,2018-07-05,0.643271153943914
911209,MN08,2018-07-06,8.345672902754231e-05
911210,MN08,2018-07-07,1.6936716959628604e-09
911211,MN08,2018-07-08,2.1949426468381716
911212,MN08,2018-07-09,2.284829100318575
911213,MN08,2018-07-10,2.2010452972608515e-11
911214,MN08,2018-07-11,0.842734112893595
911215,MN08,2018-07-12,3.5615023762147757
911216,MN08,2018-07-13,1.5624957968099484e-05
911217,MN08,2018-07-14,3.7244661471746055e-09
911218,MN08,2018-07-15,0.44235351381871624
911219,MN08,2018-07-16,0.05082810492496037
911220,MN08,2018-07-17,0.016357115262266575
911221,MN08,2018-07-18,4.8102931095091894e-11
911222,MN08,2018-07-19,0.5206878128660719
911223,MN08,2018-07-20,6.1855283775003045
911224,MN08,2018-07-21,0.9562741894342253
911225,MN08,2018-07-22,0.6907218988772001
911226,MN08,2018-07-23,3.7440030568013094e-06
911227,MN08,2018-07-24,0.023955418255311445
911228,MN08,2018-07-25,1.1049838468224493
911229,MN08,2018-07-26,3.290640924547006
911230,MN08,2018-07-27,0.2216598936399805
911231,MN08,2018-07-28,0.1630752365144872
911232,MN08,2018-07-29,0.9965693006819265
911233,MN08,2018-07-30,0.005301484851116811
911234,MN08,2018-07-31,0.1735987577689002
911235,MN08,2018-08-01,12.198054611189946
911236,MN08,2018-08-02,0.035341674387012745
911237,MN08,2018-08-03,0.004174271028833942
911238,MN08,2018-08-04,5.383832080951834
911239,MN08,2018-08-05,1.2836942141269958
911240,MN08,2018-08-06,0.27435637761641374
911241,MN08,2018-08-07,0.018134784474099774
911242,MN08,2018-08-08,1.9767684896976334
911243,MN08,2018-08-09,0.004228970074127147
911244,MN08,2018-08-10,0.055460027820197766
911245,MN08,2018-08-11,0.017778469096917663
911246,MN08,2018-08-12,1.1426940326581501e-10
911247,MN08,2018-08-13,7.538215506291369e-14
911248,MN08,2018-08-14,3.547701911906539e-08
911249,MN08,2018-08-15,0.0007737645274508154
911250,MN08,2018-08-16,0.4797166823777843
911251,MN08,2018-08-17,0.10749117436148481
911252,MN08,2018-08-18,0.01013763153423497
911253,MN08,2018-08-19,0.05425975329043098
911254,MN08,2018-08-20,7.485635765647203
911255,MN08,2018-08-21,3.2485377460034215
911256,MN08,2018-08-22,0.002165984142044081
911257,MN08,2018-08-23,2.4361656738697393e-10
911258,MN08,2018-08-24,7.623100467668564
911259,MN08,2018-08-25,0.062380945209383754
911260,MN08,2018-08-26,3.434412178648927
911261,MN08,2018-08-27,4.679235763660472
911262,MN08,2018-08-28,2.0347920748342574
911263,MN08,2018-08-29,1.1390099359687156
911264,MN08,2018-08-30,6.793352044228785e-08
911265,MN08,2018-08-31,2.6428133409694965
911266,MN08,2018-09-01,9.903950287082353
911267,MN08,2018-09-02,0.9099701088643997
911268,MN08,2018-09-03,3.4729574684838616e-06
911269,MN08,2018-09-04,18.202368892161758
911270,MN08,2018-09-05,11.593851741054095
911271,MN08,2018-09-06,6.394655596219141e-15
911272,MN08,2018-09-07,2.3830477996196302e-07
911273,MN08,2018-09-08,1.2682510664622474e-11
911274,MN08,2018-09-09,5.019820466283442e-08
911275,MN08,2018-09-10,0.0006719256401277462
911276,MN08,2018-09-11,3.7066927896208315e-07
911277,MN08,2018-09-12,0.09963441591764877
911278,MN08,2018-09-13,7.909575894944588e-09
911279,MN08,2018-09-14,0.00016286469048387708
911280,MN08,2018-09-15,1.0463332472454567
911281,MN08,2018-09-16,0.07155555508120415
911282,MN08,2018-09-17,0.0036559061777907687
911283,MN08,2018-09-18,0.254653296849483
911284,MN08,2018-09-19,1.157286158104398
911285,MN08,2018-09-20,37.73443995669368
911286,MN08,2018-09-21,8.717012519809941
911287,MN08,2018-09-22,1.5152216121805395
911288,MN08,2018-09-23,3.475275798336952
911289,MN08,2018-09-24,0.673622156455167
911290,MN08,2018-09-25,8.932163578379004
911291,MN08,2018-09-26,0.6246961955724828
911292,MN08,2018-09-27,2.3788643886746286
911293,MN08,2018-09-28,3.2194422999509698
911294,MN08,2018-09-29,0.5403130189263194
911295,MN08,2018-09-30,0.5527562279894482
911296,MN08,2018-10-01,1.1828555415149822
911297,MN08,2018-10-02,0.06501539147052426
911298,MN08,2018-10-03,27.111561303172493
911299,MN08,2018-10-04,0.27944842599936237
911300,MN08,2018-10-05,6.242823269531073
911301,MN08,2018-10-06,1.2003816436845227
911302,MN08,2018-10-07,0.06722760748090195
911303,MN08,2018-10-08,16.812156172818504
911304,MN08,2018-10-09,47.661767166573554
911305,MN08,2018-10-10,57.45787748310249
911306,MN08,2018-10-11,4.697449674040399
911307,MN08,2018-10-12,0.08658440044939653
911308,MN08,2018-10-13,0.136336471712184
911309,MN08,2018-10-14,0.6677164293478199
911310,MN08,2018-10-15,1.3380485039959922
911311,MN08,2018-10-16,0.04006753329122148
911312,MN08,2018-10-17,0.7086290862101663
911313,MN08,2018-10-18,6.313789491230182e-05
911314,MN08,2018-10-19,0.30193207294360036
911315,MN08,2018-10-20,0.20577043429170797
911316,MN08,2018-10-21,0.030495628422499976
911317,MN08,2018-10-22,0.0025484906185369027
911318,MN08,2018-10-23,0.01078429345824361
911319,MN08,2018-10-24,0.060094801135335274
911320,MN08,2018-10-25,2.145659266261646
911321,MN08,2018-10-26,5.4391354524341295
911322,MN08,2018-10-27,0.7384079651728825
911323,MN08,2018-10-28,0.39772995137354883
911324,MN08,2018-10-29,0.08391515322614396
911325,MN08,2018-10-30,1.35781720587147
911326,MN08,2018-10-31,0.010210004441901788
911327,MN08,2018-11-01,0.0007917818400926535
911328,MN08,2018-11-02,0.7803973307574097
911329,MN08,2018-11-03,0.16969963544388733
911330,MN08,2018-11-04,12.23383460455807
911331,MN08,2018-11-05,4.670697671826929
911332,MN08,2018-11-06,2.8938377454323927
911333,MN08,2018-11-07,2.1766779354948085
911334,MN08,2018-11-08,0.19237315740383565
911335,MN08,2018-11-09,10.042492955619764
911336,MN08,2018-11-10,1.102638901784303
911337,MN08,2018-11-11,2.60535518918914
911338,MN08,2018-11-12,0.08549898069531991
911339,MN08,2018-11-13,0.03139955415676354
911340,MN08,2018-11-14,0.0681973533644964
911341,MN08,2018-11-15,0.26849335554857134
911342,MN08,2018-11-16,0.9859306715043203
911343,MN08,2018-11-17,0.020071566408930153
911344,MN08,2018-11-18,0.13358366572902014
911345,MN08,2018-11-19,0.5714968722259073
911346,MN08,2018-11-20,1.2428441124257006
911347,MN08,2018-11-21,0.013417561062212258
911348,MN08,2018-11-22,0.32119363808646995
911349,MN08,2018-11-23,0.15853802750598334
911350,MN08,2018-11-24,9.997947609008406
911351,MN08,2018-11-25,0.03880525500932208
911352,MN08,2018-11-26,0.008323326827763822
911353,MN08,2018-11-27,0.13030783811984747
911354,MN08,2018-11-28,0.18889996766802142
911355,MN08,2018-11-29,3.5212075431445555
911356,MN08,2018-11-30,0.1451753405490308
911357,MN08,2018-12-01,0.31732785359395166
911358,MN08,2018-12-02,1.8439050734286866
911359,MN08,2018-12-03,0.01289618571931328
911360,MN08,2018-12-04,0.02212712173488285
911361,MN08,2018-12-05,0.25523965661022885
911362,MN08,2018-12-06,0.1931460879234237
911363,MN08,2018-12-07,0.14361775768634288
911364,MN08,2018-12-08,0.00020326684085913982
911365,MN08,2018-12-09,0.03727674169340389
911366,MN08,2018-12-10,0.06081746786179565
911367,MN08,2018-12-11,0.0012489091261169705
911368,MN08,2018-12-12,1.2402608604134002
911369,MN08,2018-12-13,0.20759007952619868
911370,MN08,2018-12-14,0.0002748915844952293
911371,MN08,2018-12-15,1.3685454708274801e-11
911372,MN08,2018-12-16,3.0942123082494666e-05
911373,MN08,2018-12-17,0.009022535518710129
911374,MN08,2018-12-18,0.11873322804945019
911375,MN08,2018-12-19,5.090235118175926e-07
911376,MN08,2018-12-20,0.879987871371668
911377,MN08,2018-12-21,0.002428112011454431
911378,MN08,2018-12-22,0.7250410192227719
911379,MN08,2018-12-23,0.7963021090517941
911380,MN08,2018-12-24,0.6113326165291255
911381,MN08,2018-12-25,0.1792891467289337
911382,MN08,2018-12-26,0.2609175083989612
911383,MN08,2018-12-27,18.456733459970565
911384,MN08,2018-12-28,3.869812962875585
911385,MN08,2018-12-29,0.07602704226172818
911386,MN08,2018-12-30,0.3834288278881104
918329,MN16,2017-01-01,0.17633346303114195
918330,MN16,2017-01-02,4.325889585743425
918331,MN16,2017-01-03,6.681007516817772
918332,MN16,2017-01-04,0.2731197731975499
918333,MN16,2017-01-05,0.012452640119064995
918334,MN16,2017-01-06,0.00930005712440618
918335,MN16,2017-01-07,0.00206502130395414
918336,MN16,2017-01-08,0.39660285295894937
918337,MN16,2017-01-09,1.2471081703324671
918338,MN16,2017-01-10,4.3510856357897865
918339,MN16,2017-01-11,1.7484239720033656
918340,MN16,2017-01-12,0.026360035754180444
918341,MN16,2017-01-13,0.0001951258030152836
918342,MN16,2017-01-14,4.180192286068474e-05
918343,MN16,2017-01-15,1.5625153514803314e-06
918344,MN16,2017-01-16,2.524509995580765e-06
918345,MN16,2017-01-17,0.007384745215333055
918346,MN16,2017-01-18,0.005883930342953647
918347,MN16,2017-01-19,1.0813762852850069e-10
918348,MN16,2017-01-20,1.3954918756553525
918349,MN16,2017-01-21,0.4866930282787507
918350,MN16,2017-01-22,0.06279244164630882
918351,MN16,2017-01-23,0.09730171548483213
918352,MN16,2017-01-24,0.1221854777355702
918353,MN16,2017-01-25,0.36759419828058526
918354,MN16,2017-01-26,0.11120521783425374
918355,MN16,2017-01-27,0.020337963313465934
918356,MN16,2017-01-28,0.002660883313687634
918357,MN16,2017-01-29,0.02414620583479632
918358,MN16,2017-01-30,3.029364586382144
918359,MN16,2017-01-31,0.6032175846826249
918360,MN16,2017-02-01,0.005497263644294037
918361,MN16,2017-02-02,5.7993063476424744e-06
918362,MN16,2017-02-03,0.00036595787650250955
918363,MN16,2017-02-04,2.0666568616434233
918364,MN16,2017-02-05,1.3586215800387436
918365,MN16,2017-02-06,2.1728641797835735
918366,MN16,2017-02-07,5.2286635309428675
918367,MN16,2017-02-08,0.00106989337389507
918368,MN16,2017-02-09,0.01651413086278808
918369,MN16,2017-02-10,1.7515886725050223
918370,MN16,2017-02-11,0.036160919059113894
918371,MN16,2017-02-12,0.030318045673993765
918372,MN16,2017-02-13,0.01818927608532306
918373,MN16,2017-02-14,0.0006874832703118727
918374,MN16,2017-02-15,0.44588769156916896
918375,MN16,2017-02-16,0.6885488915031601
918376,MN16,2017-02-17,0.21497525040103937
918377,MN16,2017-02-18,0.05874654203097407
918378,MN16,2017-02-19,1.1829372681404493
918379,MN16,2017-02-20,11.902408505193307
918380,MN16,2017-02-21,0.00032939394961628565
918381,MN16,2017-02-22,0.8153033576263624
918382,MN16,2017-02-23,0.029615393337678597
918383,MN16,2017-02-24,0.47828109472902725
918384,MN16,2017-02-25,0.015704522882131755
918385,MN16,2017-02-26,0.31516380545326683
918386,MN16,2017-02-27,0.4068314964911224
918387,MN16,2017-02-28,1.4943978214887466
918388,MN16,2017-03-01,0.70663203928234
918389,MN16,2017-03-02,0.04251248313380529
918390,MN16,2017-03-03,0.03595395741129437
918391,MN16,2017-03-04,0.10221439694646506
918392,MN16,2017-03-05,0.021774464631363344
918393,MN16,2017-03-06,1.3533123421893833
918394,MN16,2017-03-07,0.8895291671251471
918395,MN16,2017-03-08,1.0042156418421655
918396,MN16,2017-03-09,0.041089101721070165
918397,MN16,2017-03-10,0.008266696127634532
918398,MN16,2017-03-11,0.12361310375297307
918399,MN16,2017-03-12,1.2167175299282462
918400,MN16,2017-03-13,0.051416771640333536
918401,MN16,2017-03-14,2.1060140325992842e-07
918402,MN16,2017-03-15,6.454023643645557e-06
918403,MN16,2017-03-16,4.08791792096963
918404,MN16,2017-03-17,5.046548062637157
918405,MN16,2017-03-18,0.04800598958354385
918406,MN16,2017-03-19,0.22060162976345055
918407,MN16,2017-03-20,0.0001553460016873176
918408,MN16,2017-03-21,1.2590751843526767e-09
918409,MN16,2017-03-22,0.24497247110844
918410,MN16,2017-03-23,3.286192156792822
918411,MN16,2017-03-24,0.06891909443140776
918412,MN16,2017-03-25,2.135598924264681e-06
918413,MN16,2017-03-26,0.0049683244518483605
918414,MN16,2017-03-27,0.43162551293107754
918415,MN16,2017-03-28,0.01295850706739543
918416,MN16,2017-03-29,0.12009596197515293
918417,MN16,2017-03-30,0.00046748613730107635
918418,MN16,2017-03-31,0.0009296740877129395
918419,MN16,2017-04-01,0.1806459238196112
918420,MN16,2017-04-02,0.0490796203678201
918421,MN16,2017-04-03,0.7478904024083022
918422,MN16,2017-04-04,0.1442231102544156
918423,MN16,2017-04-05,0.03856267465351948
918424,MN16,2017-04-06,0.001150785691739209
918425,MN16,2017-04-07,0.19929006924712667
918426,MN16,2017-04-08,0.653100101999371
918427,MN16,2017-04-09,4.227133433687413
918428,MN16,2017-04-10,1.6062600082022982
918429,MN16,2017-04-11,0.34914489219772804
918430,MN16,2017-04-12,0.02334998514541553
918431,MN16,2017-04-13,0.019869420109230873
918432,MN16,2017-04-14,0.26361751821468715
918433,MN16,2017-04-15,5.2310381306597264
918434,MN16,2017-04-16,0.3762534987572513
918435,MN16,2017-04-17,0.1462091919535169
918436,MN16,2017-04-18,21.51591406800435
918437,MN16,2017-04-19,1.966275692666386
918438,MN16,2017-04-20,16.355899060727097
918439,MN16,2017-04-21,0.018265121415339536
918440,MN16,2017-04-22,0.0031864421101701623
918441,MN16,2017-04-23,3.5550434404285625
918442,MN16,2017-04-24,5.212516498431796
918443,MN16,2017-04-25,0.28974323740271757
918444,MN16,2017-04-26,16.062897520896513
918445,MN16,2017-04-27,0.23422624479962906
918446,MN16,2017-04-28,0.16186950020369295
918447,MN16,2017-04-29,9.373909461152241e-05
918448,MN16,2017-04-30,3.034961900993949
918449,MN16,2017-05-01,18.046514605885022
918450,MN16,2017-05-02,1.6451376325221645
918451,MN16,2017-05-03,1.827371470142225
918452,MN16,2017-05-04,0.4012056638913464
918453,MN16,2017-05-05,0.08463634273425669
918454,MN16,2017-05-06,0.10675024384454446
918455,MN16,2017-05-07,0.3436737358697428
