,siteId,SamplingInt,dateOnround,dateOffround,latitude,longitude,Modelled_RR,Modelled_global,Observed,Variable,Percent_Error_RR,Percent_Error_global,Precip_Percent_Error_RR,Precip_Percent_Error_global,Error_bin_RR,Error_bin_global,Below_90_glob,Below_90_RR
132,AL10,603.0,2017-11-29,2017-12-06,32.4583,-87.2422,6.564003107735337,4.45706142551999,7.88035,WetDep_SO4_mgm2,20.05402603654189,76.80595458880458,70.46445161324753,37.191977422266994,"(70, 80]","(30, 40]",Y,Y
133,AL10,603.0,2017-11-29,2017-12-06,32.4583,-87.2422,14.634148561704086,16.833219857077808,7.72795,WetDep_NO3_mgm2,47.192349678455685,54.09107665904658,70.46445161324753,37.191977422266994,"(70, 80]","(30, 40]",Y,Y
134,AL10,603.0,2017-11-29,2017-12-06,32.4583,-87.2422,1.572812826852732,1.8754586032614093,2.2415499999999997,WetDep_NH4_mgm2,42.518547771856646,19.520100102554117,70.46445161324753,37.191977422266994,"(70, 80]","(30, 40]",Y,Y
135,AL10,603.0,2017-11-29,2017-12-06,32.4583,-87.2422,21.49951616557137,10.110173413183098,6.35,Precipitation_mm,70.46445161324753,37.191977422266994,70.46445161324753,37.191977422266994,"(70, 80]","(30, 40]",Y,Y
136,AL10,604.0,2017-12-06,2017-12-13,32.4583,-87.2422,7.545397431862888,6.297772687848554,12.918694,WetDep_SO4_mgm2,71.21290318580999,105.13115732053018,22.817746957811632,19.16040635140492,"(20, 30]","(10, 20]",Y,Y
137,AL10,604.0,2017-12-06,2017-12-13,32.4583,-87.2422,16.2710404704702,10.253786150763137,15.769082000000001,WetDep_NO3_mgm2,3.084980775391644,53.787896179465264,22.817746957811632,19.16040635140492,"(20, 30]","(10, 20]",Y,Y
138,AL10,604.0,2017-12-06,2017-12-13,32.4583,-87.2422,2.461167239136689,1.5553912542788884,7.3098659999999995,WetDep_NH4_mgm2,197.0080977741319,369.9695963887238,22.817746957811632,19.16040635140492,"(20, 30]","(10, 20]",Y,Y
139,AL10,604.0,2017-12-06,2017-12-13,32.4583,-87.2422,59.56550656129497,56.87064707406404,45.974,Precipitation_mm,22.817746957811632,19.16040635140492,22.817746957811632,19.16040635140492,"(20, 30]","(10, 20]",Y,Y
140,AL10,605.0,2017-12-13,2017-12-20,32.4583,-87.2422,10.065032425741283,7.315419800472345,10.821924000000001,WetDep_SO4_mgm2,7.520011285040384,47.93305504218974,29.982564420296047,215.57539265032668,"(20, 30]","(210, 220]",Y,Y
141,AL10,605.0,2017-12-13,2017-12-20,32.4583,-87.2422,12.512075532702948,8.303270921121344,7.056882000000001,WetDep_NO3_mgm2,43.59942935482326,15.010818422783926,29.982564420296047,215.57539265032668,"(20, 30]","(210, 220]",Y,Y
142,AL10,605.0,2017-12-13,2017-12-20,32.4583,-87.2422,1.4054813616673574,1.064246869313733,2.180844,WetDep_NH4_mgm2,55.167052333786245,104.91899604142519,29.982564420296047,215.57539265032668,"(20, 30]","(210, 220]",Y,Y
143,AL10,605.0,2017-12-13,2017-12-20,32.4583,-87.2422,29.38410958593264,6.519519734162867,20.574,Precipitation_mm,29.982564420296047,215.57539265032668,29.982564420296047,215.57539265032668,"(20, 30]","(210, 220]",Y,Y
144,AL10,606.0,2017-12-20,2017-12-27,32.4583,-87.2422,5.711027802427942,5.923416753673907,7.224776,WetDep_SO4_mgm2,26.505705276526843,21.96973977086697,53.404238608710294,42.15751474491763,"(50, 60]","(40, 50]",Y,Y
145,AL10,606.0,2017-12-20,2017-12-27,32.4583,-87.2422,10.361904623787735,8.793408459392172,6.00964,WetDep_NO3_mgm2,42.002554373992965,31.657445144821516,53.404238608710294,42.15751474491763,"(50, 60]","(40, 50]",Y,Y
146,AL10,606.0,2017-12-20,2017-12-27,32.4583,-87.2422,1.0688062184241376,1.162936808001988,1.367028,WetDep_NH4_mgm2,27.902324709109998,17.54963731422826,53.404238608710294,42.15751474491763,"(50, 60]","(40, 50]",Y,Y
147,AL10,606.0,2017-12-20,2017-12-27,32.4583,-87.2422,14.172962953738766,4.645551107058942,6.604,Precipitation_mm,53.404238608710294,42.15751474491763,53.404238608710294,42.15751474491763,"(50, 60]","(40, 50]",Y,Y
148,AL99,620.0,2017-01-04,2017-01-11,34.2886,-85.9699,1.1252610089727937,0.9196224138074033,0.300228,WetDep_SO4_mgm2,73.31925681188703,67.35312281515608,86.65414394940387,96.40243500726558,"(80, 90]","(90, 100]",Y,Y
149,AL99,620.0,2017-01-04,2017-01-11,34.2886,-85.9699,7.521340339607107,5.6197180229623775,0.277368,WetDep_NO3_mgm2,96.31225303634527,95.06437869539603,86.65414394940387,96.40243500726558,"(80, 90]","(90, 100]",Y,Y
150,AL99,620.0,2017-01-04,2017-01-11,34.2886,-85.9699,1.2196065522608406,1.134075043164631,0.148844,WetDep_NH4_mgm2,87.79573627871373,86.8752953433618,86.65414394940387,96.40243500726558,"(80, 90]","(90, 100]",Y,Y
151,AL99,620.0,2017-01-04,2017-01-11,34.2886,-85.9699,3.8064249912039827,14.120662198624512,0.508,Precipitation_mm,86.65414394940387,96.40243500726558,86.65414394940387,96.40243500726558,"(80, 90]","(90, 100]",Y,Y
152,AL99,621.0,2017-01-11,2017-01-18,34.2886,-85.9699,8.308101230028106,3.6760432761339654,1.7993359999999998,WetDep_SO4_mgm2,78.34239195958963,51.05237167141481,93.22776270549872,89.78151815086993,"(90, 100]","(80, 90]",Y,Y
153,AL99,621.0,2017-01-11,2017-01-18,34.2886,-85.9699,28.011351538292928,10.857612783854442,1.821688,WetDep_NO3_mgm2,93.49660798226867,83.22202093346985,93.22776270549872,89.78151815086993,"(90, 100]","(80, 90]",Y,Y
154,AL99,621.0,2017-01-11,2017-01-18,34.2886,-85.9699,4.926048255632712,1.7765576236679346,0.6405879999999999,WetDep_NH4_mgm2,86.99590489663764,63.94217719336215,93.22776270549872,89.78151815086993,"(90, 100]","(80, 90]",Y,Y
155,AL99,621.0,2017-01-11,2017-01-18,34.2886,-85.9699,7.501213822092012,4.9713842770415795,0.508,Precipitation_mm,93.22776270549872,89.78151815086993,93.22776270549872,89.78151815086993,"(90, 100]","(80, 90]",Y,Y
156,AL99,622.0,2017-01-18,2017-01-25,34.2886,-85.9699,26.504703455999735,26.23550545903244,32.169354,WetDep_SO4_mgm2,21.372246452046177,22.617626141159924,45.107293547815814,37.1727477205518,"(40, 50]","(30, 40]",Y,Y
157,AL99,622.0,2017-01-18,2017-01-25,34.2886,-85.9699,29.869143490880223,25.617377989515973,24.220170000000003,WetDep_NO3_mgm2,18.91240534769599,5.454141286777215,45.107293547815814,37.1727477205518,"(40, 50]","(30, 40]",Y,Y
