Variable,Month,Year,Modelled,Observed,Mod_SE,Obs_SE,Perc_Difference_abs,Diff_factor
WetDep_NH4_mgm2,6,2012.0,16.949199238396066,26.983171845421936,4.905399317787486,7.2538710711228775,15.347426738842259,1.6017724995538072
WetDep_NH4_mgm2,7,2012.0,14.727663800683585,21.754839188034943,4.905399317787486,7.2538710711228775,13.24508025812119,1.4825835425623926
WetDep_NH4_mgm2,8,2012.0,14.370130646519922,17.7721390257138,4.905399317787486,7.2538710711228775,13.135735426711744,1.2343952198081785
WetDep_NH4_mgm2,9,2012.0,10.696676404557733,14.096259581113392,4.905399317787486,7.2538710711228775,9.368770072465194,1.3279063320925397
WetDep_NH4_mgm2,10,2012.0,8.697016114619027,13.044630131218401,4.905399317787486,7.2538710711228775,7.18178132074998,1.5152347938690458
WetDep_NH4_mgm2,11,2012.0,6.058922671112968,10.956494138628363,4.905399317787486,7.2538710711228775,4.244392060820703,1.814530610292265
WetDep_NH4_mgm2,12,2012.0,5.548072352967295,9.91757928111111,4.905399317787486,7.2538710711228775,3.7420753486992155,1.8059970042680795
WetDep_NO3_mgm2,1,2012.0,42.31621963012635,33.50526334167676,17.97362033853015,15.4053906570747,41.52565538979181,0.7905642403345381
WetDep_NO3_mgm2,2,2012.0,44.09805535856721,38.23583788310897,17.97362033853015,15.4053906570747,43.23005841163682,0.8679969469303992
WetDep_NO3_mgm2,3,2012.0,51.551930797710575,44.96339270374902,17.97362033853015,15.4053906570747,50.68600789401838,0.8659229036921988
WetDep_NO3_mgm2,4,2012.0,57.83510921756635,53.09654187529735,17.97362033853015,15.4053906570747,56.923352554121124,0.911756663445231
WetDep_NO3_mgm2,5,2012.0,63.34687924346399,57.447978246415744,17.97362033853015,15.4053906570747,62.44847810694703,0.8984011365169554
WetDep_NO3_mgm2,6,2012.0,73.23810577642988,61.821333013014815,17.97362033853015,15.4053906570747,72.4013892772299,0.8367164991999816
WetDep_NO3_mgm2,7,2012.0,83.891772194609,59.419223589960545,17.97362033853015,15.4053906570747,83.18256003551937,0.709212159089633
WetDep_NO3_mgm2,8,2012.0,80.38380743901124,52.711681129361956,17.97362033853015,15.4053906570747,79.72849682573464,0.6553106132765987
WetDep_NO3_mgm2,9,2012.0,50.213208744105835,35.91996476430107,17.97362033853015,15.4053906570747,49.49940635754278,0.7138023865630501
WetDep_NO3_mgm2,10,2012.0,46.31326636567683,34.188603609559564,17.97362033853015,15.4053906570747,45.58565341839007,0.7276129472867577
WetDep_NO3_mgm2,11,2012.0,40.997534015959985,31.897089913977023,17.97362033853015,15.4053906570747,40.22923836487472,0.7682956510852632
WetDep_NO3_mgm2,12,2012.0,46.21707896837792,36.576510198039706,17.97362033853015,15.4053906570747,45.418315567172016,0.7987634012059001
WetDep_SO4_mgm2,1,2012.0,16.45118526612158,28.56883318434916,9.947221913424212,24.33026788188833,14.744369010968036,1.7068162551535462
WetDep_SO4_mgm2,2,2012.0,19.63595830827337,33.07692788605717,9.947221913424212,24.33026788188833,17.98381656992152,1.6521417383518517
WetDep_SO4_mgm2,3,2012.0,27.35679047171927,45.3186696621742,9.947221913424212,24.33026788188833,25.73178114609861,1.625009325620658
WetDep_SO4_mgm2,4,2012.0,32.73055103454336,56.04861966142353,9.947221913424212,24.33026788188833,31.061265042895542,1.6692859916478118
WetDep_SO4_mgm2,5,2012.0,33.558521575280245,58.61113891780585,9.947221913424212,24.33026788188833,31.870406877183356,1.688114698096888
WetDep_SO4_mgm2,6,2012.0,33.26954685817506,62.02367261702394,9.947221913424212,24.33026788188833,31.484521636921137,1.785025221253926
WetDep_SO4_mgm2,7,2012.0,33.825770051461504,60.45625817948474,9.947221913424212,24.33026788188833,32.123383685260016,1.7023863662014855
WetDep_SO4_mgm2,8,2012.0,35.079978408819834,54.002164505902805,9.947221913424212,24.33026788188833,33.60425335437062,1.4757250544492115
WetDep_SO4_mgm2,9,2012.0,27.268486923567565,40.52190686646277,9.947221913424212,24.33026788188833,25.82391274812033,1.444574175447241
WetDep_SO4_mgm2,10,2012.0,24.477202943357725,37.29370058183565,9.947221913424212,24.33026788188833,23.021628055450886,1.4555748879068362
WetDep_SO4_mgm2,11,2012.0,18.21757649115391,32.150342260106484,9.947221913424212,24.33026788188833,16.520026177429664,1.6975503137242478
WetDep_SO4_mgm2,12,2012.0,17.9519922465944,34.33497822520061,9.947221913424212,24.33026788188833,16.061634549453508,1.8903576971408893
