,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Perc_Difference_abs,Diff_factor
860,WetDep_NO3_mgm2,2012,5,67.20591264150889,61.088439966101696,2012-05-01,17.97362033853015,15.405390657074697,66.2969384521104,0.9089741893984963
861,WetDep_NO3_mgm2,2012,6,59.3465786766673,50.78376765482234,2012-06-01,17.97362033853015,15.405390657074697,58.49086350677515,0.8557151698921523
862,WetDep_NO3_mgm2,2012,7,66.68790295305672,51.053295169154225,2012-07-01,17.97362033853015,15.405390657074697,65.92234738887754,0.7655555641791872
863,WetDep_NO3_mgm2,2012,8,102.11514095453386,70.45073376616917,2012-08-01,17.97362033853015,15.405390657074697,101.42522628460712,0.6899146699267342
864,WetDep_NO3_mgm2,2012,9,46.54649577131531,34.421843921182266,2012-09-01,17.97362033853015,15.405390657074697,45.80698051134175,0.739515259973556
865,WetDep_NO3_mgm2,2012,10,57.70882339991919,42.17895209251101,2012-10-01,17.97362033853015,15.405390657074697,56.97793079792984,0.7308926019893532
866,WetDep_NO3_mgm2,2012,11,20.899098884083106,16.88735295327103,2012-11-01,17.97362033853015,15.405390657074697,20.09105672652709,0.8080421575560156
867,WetDep_NO3_mgm2,2012,12,52.51433965956844,38.70335213333333,2012-12-01,17.97362033853015,15.405390657074697,51.77733425524968,0.7370054043187676
868,WetDep_NO3_mgm2,2013,1,43.010477710776385,33.62284335897436,2013-01-01,17.97362033853015,15.405390657074697,42.228741604865846,0.7817361059105388
869,WetDep_NO3_mgm2,2013,2,47.365391310144034,41.130959179487185,2013-02-01,17.97362033853015,15.405390657074697,46.49701551841531,0.8683757917287248
870,WetDep_NO3_mgm2,2013,3,44.13201076359823,38.77092646320346,2013-03-01,17.97362033853015,15.405390657074697,43.25348912380965,0.8785216397885772
871,WetDep_NO3_mgm2,2013,4,58.941321991466275,54.63141183842795,2013-04-01,17.97362033853015,15.405390657074697,58.014444039079365,0.9268779523869124
872,WetDep_NO3_mgm2,2013,5,66.14473515925232,60.034253729957804,2013-05-01,17.97362033853015,15.405390657074697,65.23711562482653,0.9076195344257905
873,WetDep_NO3_mgm2,2013,6,75.61637887482631,63.41125760280374,2013-06-01,17.97362033853015,15.405390657074697,74.77778730847038,0.8385915663559258
874,WetDep_NO3_mgm2,2013,7,104.47814337292623,72.22462364,2013-07-01,17.97362033853015,15.405390657074697,103.78685406294873,0.6912893099774954
875,WetDep_NO3_mgm2,2013,8,81.73913557074692,41.05774472985782,2013-08-01,17.97362033853015,15.405390657074697,81.23683340614522,0.502302164601698
