,siteId,model_time,lat,lon,Mod_SOA_POM_BC_mgm2,time
5512,SR,2017-02-03,44.764397905759154,287.5,0.10299658001478029,2017-02-02
5513,SR,2017-02-04,44.764397905759154,287.5,0.03497855598916244,2017-02-03
5514,SR,2017-02-05,44.764397905759154,287.5,2.9199500292956466e-06,2017-02-04
5515,SR,2017-02-06,44.764397905759154,287.5,0.24305955997894202,2017-02-05
5516,SR,2017-02-07,44.764397905759154,287.5,0.10441097049451731,2017-02-06
5517,SR,2017-02-08,44.764397905759154,287.5,1.5812292974981546,2017-02-07
5518,SR,2017-02-09,44.764397905759154,287.5,1.366036683769778,2017-02-08
5519,SR,2017-02-10,44.764397905759154,287.5,0.5110294937216153,2017-02-09
5520,SR,2017-02-11,44.764397905759154,287.5,0.11585772653754933,2017-02-10
5521,SR,2017-02-12,44.764397905759154,287.5,0.20938882502874456,2017-02-11
5522,SR,2017-02-13,44.764397905759154,287.5,0.5166043967608225,2017-02-12
5523,SR,2017-02-14,44.764397905759154,287.5,0.5667433397582577,2017-02-13
5524,SR,2017-02-15,44.764397905759154,287.5,0.015257508147528687,2017-02-14
5525,SR,2017-02-16,44.764397905759154,287.5,1.7765807824865476,2017-02-15
5526,SR,2017-02-17,44.764397905759154,287.5,2.2803613997091077,2017-02-16
5527,SR,2017-02-18,44.764397905759154,287.5,0.059500927622468947,2017-02-17
5528,SR,2017-02-19,44.764397905759154,287.5,0.007873579132428032,2017-02-18
5529,SR,2017-02-20,44.764397905759154,287.5,0.010366593521105028,2017-02-19
5530,SR,2017-02-21,44.764397905759154,287.5,0.02145606114653531,2017-02-20
5531,SR,2017-02-22,44.764397905759154,287.5,0.31687540091862587,2017-02-21
5532,SR,2017-02-23,44.764397905759154,287.5,0.3671591281007025,2017-02-22
5533,SR,2017-02-24,44.764397905759154,287.5,0.2395316445191753,2017-02-23
5534,SR,2017-02-25,44.764397905759154,287.5,4.497962902139108,2017-02-24
5535,SR,2017-02-26,44.764397905759154,287.5,1.3663731646129662,2017-02-25
5536,SR,2017-02-27,44.764397905759154,287.5,0.78207208209502,2017-02-26
5537,SR,2017-02-28,44.764397905759154,287.5,0.05265490543582274,2017-02-27
5538,SR,2017-03-01,44.764397905759154,287.5,0.11054064538718045,2017-02-28
5539,SR,2017-03-02,44.764397905759154,287.5,1.3758172601185947,2017-03-01
5540,SR,2017-03-03,44.764397905759154,287.5,0.8861429090512019,2017-03-02
5541,SR,2017-03-04,44.764397905759154,287.5,0.007145047054013531,2017-03-03
5542,SR,2017-03-05,44.764397905759154,287.5,0.10425592888996249,2017-03-04
5543,SR,2017-03-06,44.764397905759154,287.5,-0.0,2017-03-05
5544,SR,2017-03-07,44.764397905759154,287.5,0.09957521994452545,2017-03-06
5545,SR,2017-03-08,44.764397905759154,287.5,4.016592958233645,2017-03-07
5546,SR,2017-03-09,44.764397905759154,287.5,2.725990333463102,2017-03-08
5547,SR,2017-03-10,44.764397905759154,287.5,0.35934168141071865,2017-03-09
5548,SR,2017-03-11,44.764397905759154,287.5,0.00014287832696753978,2017-03-10
5549,SR,2017-03-12,44.764397905759154,287.5,0.28700892287791824,2017-03-11
5550,SR,2017-03-13,44.764397905759154,287.5,0.13002035698095327,2017-03-12
5551,SR,2017-03-14,44.764397905759154,287.5,0.002420451192990461,2017-03-13
5552,SR,2017-03-15,44.764397905759154,287.5,0.5756098722664582,2017-03-14
5553,SR,2017-03-16,44.764397905759154,287.5,0.5041184095166962,2017-03-15
5554,SR,2017-03-17,44.764397905759154,287.5,0.3471894396978037,2017-03-16
5555,SR,2017-03-18,44.764397905759154,287.5,0.015804985055087317,2017-03-17
5556,SR,2017-03-19,44.764397905759154,287.5,-0.0,2017-03-18
